datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2014/10/08 17:35:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,1,0,1,-16.3257,-57.3686,
2014/10/18 17:46:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,11,0,0.9,-19.9145,-57.3985,
2014/10/16 18:24:00,NPP-375,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,14,0,1,-19.2742,-55.5981,
2014/11/14 17:40:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,1,0,0.7,-19.5886,-57.6424,
2014/10/21 16:50:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,2.3,1,-18.1156,-56.1313,
2014/10/15 17:03:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,9,0,1,-18.6054,-57.2339,
2014/10/05 16:50:00,NPP-375,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,3,0,1,-18.9723,-55.5262,
2014/10/09 21:00:55,NOAA-18,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,4,0,0.8,-17.0560,-56.4100,
2014/11/17 16:43:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,4,0,0.9,-18.6344,-56.8606,
2014/11/18 05:33:00,NPP-375,Brasil,MATO GROSSO,NOSSA SENHORA DO LIVRAMENTO,Pantanal,5,0.1,0.5,-15.8163,-56.1649,
2014/10/17 18:06:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,7,0,1,-17.8334,-56.0591,
2014/10/19 17:28:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,5,1.8,0.7,-17.8613,-56.0360,
2014/04/11 04:34:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,5,0.1,0.2,-19.1120,-57.2793,
2014/10/12 05:28:00,NPP-375,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,6,0,1,-17.0782,-56.3430,
2014/04/11 04:35:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,13,0.4,0.8,-19.7895,-57.8104,
2014/10/08 17:34:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,1,-18.0360,-56.4759,
2014/10/31 17:02:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,2,0,0.8,-18.7650,-57.1339,
2014/10/18 17:47:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,6,0,0.9,-18.7490,-57.0986,
2014/11/17 04:13:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,4,0,0.8,-18.6935,-56.9797,
2014/11/17 05:53:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,4,0,1,-17.7084,-56.5360,
2014/10/21 20:25:14,NOAA-18,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,0,0,1,-16.4680,-55.7400,
2014/10/11 18:18:00,NPP-375,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,9,0,1,-19.7342,-56.0912,
2014/10/14 17:22:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,0,1,-18.5342,-56.7217,
2014/11/17 20:19:13,NOAA-18,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,5,0,0.6,-18.8040,-57.2520,
2014/10/13 17:40:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,6,0.1,0.7,-19.9513,-57.3503,
2014/10/12 17:59:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,5,0,0.9,-19.9893,-57.3591,
2014/10/13 17:40:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,6,0.1,0.5,-19.9667,-57.3550,
2014/11/04 17:27:00,NPP-375,Brasil,MATO GROSSO DO SUL,RIO VERDE DE MATO GROSSO,Pantanal,0,1.1,0.8,-18.3887,-55.3268,
2014/11/17 20:19:36,NOAA-18,Brasil,MATO GROSSO,POCONE,Pantanal,4,0,0.8,-17.4260,-57.0800,
2014/11/17 21:22:32,NOAA-15,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,4,0,1,-17.7020,-56.5470,
2014/10/10 20:49:32,NOAA-18,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,5,0,0.9,-17.0820,-56.3920,
2014/10/18 17:47:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,7,6.4,1,-17.8238,-56.0305,
2014/12/19 16:43:00,NPP-375,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,1,2.9,0.2,-19.0759,-55.6859,
2014/11/04 04:57:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,8.3,0.3,-18.0799,-56.9074,
2014/10/12 17:59:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,5,0,1,-19.9897,-57.3841,
2014/10/16 16:44:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,9,0,1,-17.4461,-55.9355,
2014/10/21 18:31:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,2,1.3,0.6,-17.1472,-57.8204,
2014/10/22 18:12:00,NPP-375,Brasil,MATO GROSSO,BARAO DE MELGACO,Pantanal,2,0,1,-16.4279,-55.9973,
2014/11/07 05:41:00,NPP-375,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,0,0,0.2,-18.6980,-55.4350,
