datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2018/11/03 05:25:00,AQUA_M-M,Brasil,MATO GROSSO,PORTO ESPERIDIAO,Pantanal,0,8.6,0.7,-16.2600,-58.9390,4
2018/11/14 00:33:42,GOES-16,Brasil,MATO GROSSO,CACERES,Pantanal,5,0.2,0.6,-16.2900,-58.6500,
2018/11/14 00:18:43,GOES-16,Brasil,MATO GROSSO,CACERES,Pantanal,5,0.2,0.5,-16.3100,-58.6200,
2018/11/14 00:18:43,GOES-16,Brasil,MATO GROSSO,CACERES,Pantanal,5,0.2,0.1,-16.3100,-58.6400,
2018/11/14 06:33:42,GOES-16,Brasil,MATO GROSSO,CACERES,Pantanal,5,0.2,0.1,-16.3100,-58.6400,
2018/11/14 05:06:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,6,1.2,0.3,-16.5936,-57.6168,1.1
2018/12/12 04:42:00,NPP-375,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,11,0,0.1,-19.2940,-55.2828,1.3
2018/12/13 23:33:24,GOES-16,Brasil,MATO GROSSO DO SUL,AQUIDAUANA,Pantanal,12,0.7,0.1,-19.2900,-55.2800,
2018/12/14 14:45:00,TERRA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,12,0,0.5,-16.1390,-58.6860,22.4
2018/12/16 14:30:00,TERRA_M-T,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,5,0.2,0.7,-18.4790,-55.3700,63.8
2018/12/17 20:07:21,NOAA-19,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,11,0,1,-18.4653,-55.4167,
2018/12/17 21:33:21,GOES-16,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0,0.3,-20.0600,-57.9200,
2018/12/17 22:33:30,GOES-16,Brasil,MATO GROSSO DO SUL,RIO VERDE DE MATO GROSSO,Pantanal,6,0,0.7,-18.4900,-55.3700,
2018/12/17 23:33:30,GOES-16,Brasil,MATO GROSSO DO SUL,RIO VERDE DE MATO GROSSO,Pantanal,6,0,0.7,-18.4900,-55.3700,
2018/12/17 23:33:30,GOES-16,Brasil,MATO GROSSO DO SUL,RIO VERDE DE MATO GROSSO,Pantanal,5,0,1,-18.4700,-55.3600,
2018/12/17 23:33:30,GOES-16,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,7,0,0.7,-18.4700,-55.3800,
2018/12/18 17:00:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,2,0,0.3,-19.6395,-57.6056,4.7
2018/12/19 18:18:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,13,0,0.6,-18.5742,-56.8109,9.6
2018/12/20 00:03:25,GOES-16,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,16,0,0.4,-18.9900,-57.2300,
2018/12/20 18:00:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,20,0,0.3,-19.0231,-57.2813,127.2
2018/12/21 17:42:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,21,0,1,-18.9944,-57.2813,14.7
2018/12/22 02:33:22,GOES-16,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,4,2.3,-999,-19.9000,-57.8300,
2018/12/22 02:18:25,GOES-16,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,21,10.4,0,-19.3100,-57.2300,
2018/12/22 02:03:23,GOES-16,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,21,10.5,0,-19.3100,-57.2000,
2018/12/22 17:24:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,5,2.3,0.5,-19.8721,-57.8004,33.3
2018/12/22 17:24:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,5,2.3,0.5,-19.8727,-57.8042,8
2018/12/23 01:24:02,METOP-B,Brasil,MATO GROSSO,POCONE,Pantanal,2,19.9,0,-17.4928,-57.1337,
2018/12/23 23:33:27,GOES-16,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,4,0.3,-18.9900,-57.3100,
2018/12/23 22:23:29,NOAA-15,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,6,0.1,-19.9458,-57.8463,
2018/12/23 23:18:25,GOES-16,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,4,0.3,-18.9900,-57.3100,
2018/12/23 23:03:21,GOES-16,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,3,1.9,0.6,-19.8600,-57.8400,
2018/12/23 22:23:29,NOAA-15,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,5.6,0.3,-19.9377,-57.8632,
2018/12/24 21:18:35,GOES-16,Brasil,MATO GROSSO,POCONE,Pantanal,4,1.8,0.6,-17.7100,-57.2300,
2018/12/25 01:55:00,TERRA_M-M,Brasil,MATO GROSSO,POCONE,Pantanal,5,4.6,0.4,-17.7040,-57.2440,28.4
2018/12/25 07:40:24,NOAA-19D,Brasil,MATO GROSSO,POCONE,Pantanal,5,5.1,0.3,-17.7167,-57.2555,
2018/12/25 05:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,5,4.7,0.4,-17.7058,-57.2401,4.2
2018/12/25 05:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,5,4.7,0.3,-17.7066,-57.2334,0.7
2018/12/25 05:36:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,5,4.9,0.3,-17.7118,-57.2341,0.7
2018/11/11 16:55:00,NPP-375,Brasil,MATO GROSSO,PORTO ESPERIDIAO,Pantanal,,,,-15.7818,-58.6229,1.7
2018/11/11 16:54:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,,,-18.6291,-56.2553,8.7
2018/11/11 16:54:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,,,-18.6259,-56.2575,12.3
2018/01/18 14:05:00,TERRA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,0,1.7,0,-16.1290,-58.1760,6.9
2018/01/23 18:06:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,0,1.7,0.1,-16.1140,-58.4463,
2018/01/23 17:15:00,AQUA_M-T,Brasil,MATO GROSSO,CACERES,Pantanal,0,1.7,0.1,-16.1160,-58.4490,22.3
2018/02/01 17:00:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,0,18.5,0,-16.1142,-58.4405,
2018/02/01 17:00:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,0,18.6,0,-16.1148,-58.4452,
2018/02/05 17:24:00,NPP-375,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,0,0.2,0,-19.2664,-56.8943,
2018/03/03 17:36:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,0,0,0.1,-16.1240,-58.6070,
