datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4492,-57.4889,7.2
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,,,-18.7616,-55.8307,10.6
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9666,-57.6508,3.3
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4552,-57.4912,5.6
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4253,-57.4798,14
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9700,-57.6482,3.6
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9641,-57.6460,3.6
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9547,-57.6462,4.5
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9812,-58.3783,5.2
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4313,-57.4821,11.1
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4605,-57.4901,5.6
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9712,-57.6462,3.3
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9648,-57.6494,3.6
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9753,-57.6471,5.1
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-17.4260,-57.4832,9.1
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO DO SUL,CORUMBA,Pantanal,,,,-18.7558,-55.8273,9
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9599,-57.6451,4.5
2021/01/02 18:00:00,NOAA-20,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9634,-57.6426,9.9
2021/01/02 17:12:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.2478,-57.3066,6.7
2021/01/02 17:12:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.2442,-57.3071,6.7
2021/01/02 17:12:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.2508,-57.3018,12.5
2021/01/02 17:12:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.2514,-57.3060,12.5
2021/01/02 17:12:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-16.4551,-56.5941,8.6
2021/01/02 17:12:00,NPP-375,Brasil,MATO GROSSO,PORTO ESPERIDIAO,Pantanal,,,,-16.1942,-59.0702,61.7
2021/01/02 17:12:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9799,-58.3824,9.7
2021/01/02 17:12:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.9761,-58.3830,9.7
2021/01/02 17:12:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.2400,-57.3034,8.4
2021/01/02 17:12:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.2544,-57.3013,12.5
2021/01/02 17:12:00,NPP-375,Brasil,MATO GROSSO,POCONE,Pantanal,,,,-17.2550,-57.3055,12.5
2021/01/02 17:12:00,NPP-375,Brasil,MATO GROSSO DO SUL,RIO VERDE DE MATO GROSSO,Pantanal,,,,-18.6006,-55.3276,7.2
2021/01/02 17:12:00,NPP-375,Brasil,MATO GROSSO,CACERES,Pantanal,,,,-16.3113,-57.7797,8.3
